Cidade,Rede,Série,Disciplina,Matriculados na Série,Taxa de Participação (%),Percentual Insuficiente (%),Percentual Básico (%),Percentual Proficiente (%),Percentual Avançado (%),Percentual Aprendizado Adequado (%),Crescimento entre 2013 e 2015 (pp*)
Beneditinos,Todas,9º ano,Matemática,160,60,33.02,51.73,12.66,2.59,15.25,8.94
Bertolínia,Todas,9º ano,Matemática,20,100,30,70,0,0,0,-11.12
Betânia Do Piauí,Todas,9º ano,Matemática,85,91.76000000000001,22.22,71.81999999999999,5.96,0,5.95,-4.84
Boa Hora,Todas,9º ano,Matemática,77,93.51000000000001,48.3,50.34,1.36,0,1.36,-3.76
Bocaina,Todas,9º ano,Matemática,24,100,50,38.46,11.54,0,11.54,-4.16
Bom Jesus,Todas,9º ano,Matemática,286,86.01000000000001,36.25,54.6,8.789999999999999,0.36,9.15,3.09
Bom Princípio Do Piauí,Todas,9º ano,Matemática,47,74.47,31.07,56.59,12.34,0,12.34,6.08
Bonfim Do Piauí,Todas,9º ano,Matemática,48,95.83,45.56,54.44,0,0,0,-7.83
Boqueirão Do Piauí,Todas,9º ano,Matemática,50,78,48.88,48.87,2.25,0,2.25,-5.88
Brasileira,Todas,9º ano,Matemática,99,89.90000000000001,39.49,53.13,7.38,0,7.38,-2.56
Brejo Do Piauí,Todas,9º ano,Matemática,39,89.73999999999999,63.75,33.7,2.55,0,2.55,1.22
Buriti Dos Lopes,Todas,9º ano,Matemática,144,90.97,35.16,59.25,4.68,0.91,5.59,-2.04
Buriti Dos Montes,Todas,9º ano,Matemática,51,98.04000000000001,11.76,48.08,32.15,8.01,40.16,25.94
Cabeceiras Do Piauí,Todas,9º ano,Matemática,48,81.25,43.45,51.51,5.04,0,5.04,-0.9
Cajazeiras Do Piauí,Todas,9º ano,Matemática,Sem dados de participação*,Sem dados de participação*,30.55,63.89,5.56,0,5.56,2.62
Cajueiro Da Praia,Todas,9º ano,Matemática,29,86.20999999999999,52.01,47.99,0,0,0,0
Caldeirão Grande Do Piauí,Todas,9º ano,Matemática,66,83.33,42.42,48.36,7.53,1.69,9.210000000000001,7.59
Campinas Do Piauí,Todas,9º ano,Matemática,27,92.59,64,32,4,0,4.01,2.22
Campo Alegre Do Fidalgo,Todas,9º ano,Matemática,41,85.37,25.44,68.41,6.15,0,6.15,3.63
Campo Grande Do Piauí,Todas,9º ano,Matemática,64,85.94,18.28,67.23,14.49,0,14.49,5.59
Campo Largo Do Piauí,Todas,9º ano,Matemática,20,85,29.4,70.59999999999999,0,0,0,0
Campo Maior,Todas,9º ano,Matemática,418,85.41,32.63,52.66,12.35,2.36,14.71,0.2
Canavieira,Todas,9º ano,Matemática,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*,Sem dados*
